Paragraph Number,Paragraph Style,First Line Indent (cm),Hanging Indent (cm),Font Name,Font Size,Character Count,Word Count,Tab Count,Equals Sign Count,Is Italic,Is Bold,Text,Numbering Type,List Value,Within Table,Paragraph Range
233,tt,-0.65,3.65,ZapfEllipt BT,9.5,403,78,1,0,No,Yes,"2.	Lack of specialization: In simple organization, there is absolute lack of functional specialization. An employee has to involve in various types and nature of works. Similarly, manager has to look after the various departments and functions at a time. This creates the concept of being a ""jack of all trade but master for none"". Therefore, the operating efficiency of simple organization is very low.",0,0,False,"[37385, 37789]"
234,tt,-0.65,3.65,,9999999.0,487,84,1,0,No,Yes,"3.	Autocratic leadership: The executive authority of the enterprise is concentrated in top level management. Therefore, executive is willing to adopt dictatorial approach to the subordinates. Subordinates have no freedom to do their performance. They are bound to follow the instruction from their superior. There is no any provision of upward communication from the lower level. The concept of centralization of authority is the reason of weak morale and motivation of the subordinates.",0,0,False,"[37789, 38307]"
235,tt,-0.65,3.65,,9999999.0,435,75,1,0,No,Yes,"4.	Problems of coordination: The top level management may face problem to maintain coordination in the functions of various departments. In simple organization, various departments are autonomous in operation and there is little communication with each other. Thus, due to lack of proper communication all departments perform their functions in their own ways. The responsibility of coordination is on the head of top level management.",0,0,False,"[38307, 38776]"
236,tt,-0.65,3.65,,9999999.0,377,64,1,0,No,Yes,"5.	Inefficiency: There is lack of provision of experts and specialists in decision making process. The top level management takes decision without taking any suggestion and guidance from experts. In such situation, there may be the probability of misbalance in managerial decision. The misjudgment of management will be the reason of inefficiency in organizational performance.",0,0,False,"[38776, 39176]"
237,H2,0.0,0.0,Impact,13.0,33,4,0,0,No,No,Functional Organization Structure,0,0,False,"[39176, 39210]"
238,t,0.0,3.0,ZapfEllipt BT,9.5,763,130,0,0,No,No,"In functional organizational structure, all business activities of an enterprise are divided into a number of functions and each function is entrusted to a specialist. Each specialist, to whom a function is entrusted, is known as functional managers and authority delegated to each manager is known as his functional authority. For, instance, the business activities of an enterprise is divided into various functions such as production, human resource, marketing, finance, research and development, purchasing etc. In the similar manner, a particular function is entrusted to a functional manager such as production function is entrusted to production manager, human resource function to human resource manager, marketing function to marketing manager and so on.",0,0,False,"[39210, 39976]"
239,t,0.0,3.0,ZapfEllipt BT,9.5,566,83,0,0,No,No,"Generally, in functional organization the functional specialists communicate with each other through general manager. Here no functional manager can provide direct instruction or suggestion to another. The general manager plays the role of coordinator among all the functional managers to integrate their activities for the achievement of common business objectives. This form of organizational structure is common in many corporate organizations having expanded and diversified business activities. The specimen of functional organizational structure is as follows:",0,0,False,"[39976, 40544]"
240,Fig,0.0,3.0,Book Antiqua,1.0,0,1,0,0,No,No,,0,0,False,"[40544, 40545]"
241,Fig,0.0,3.0,Book Antiqua,9.5,2,2,0,0,No,No,,0,0,False,"[40545, 40574]"
242,H3,0.0,3.0,ZapfEllipt BT,10.5,37,5,0,0,No,Yes,Advantages of Functional Organization,0,0,False,"[40574, 40612]"
243,t,0.0,3.0,ZapfEllipt BT,9.5,68,11,0,0,No,No,The following are some common advantages of functional organization:,0,0,False,"[40612, 40681]"
244,xtt,0.0,3.25,ZapfEllipt BT,9.0,37,5,0,0,No,Yes,Advantages of Functional Organization,0,0,False,"[40681, 40719]"
245,xt,0.0,3.25,ZapfEllipt BT,9.0,30,8,1,0,No,No,1.	 Benefits of specialization,0,0,False,"[40719, 40750]"
246,xt,0.0,3.25,ZapfEllipt BT,9.0,23,7,1,0,No,No,2.	 Increase efficiency,0,0,False,"[40750, 40774]"
247,xt,0.0,3.25,ZapfEllipt BT,9.0,37,9,1,0,No,No,3.	 Healthy competition among experts,0,0,False,"[40774, 40812]"
248,xt,0.0,3.25,ZapfEllipt BT,9.0,23,8,1,0,No,No,4.	 Relief of executive,0,0,False,"[40812, 40836]"
249,xt,0.0,3.25,ZapfEllipt BT,9.0,36,9,1,0,No,No,5.	 Facilitates growth and expansion,0,0,False,"[40836, 40873]"
250,tt,-0.65,3.65,,9999999.0,455,75,1,0,No,Yes,"1.	 Benefits of specialization: The functional organization structure provides the benefit of functional specialization. Every manager is expert in his own field of knowledge. The expertise knowledge of every manager is beneficial to all the members as well as to the enterprise. The functional specialization leads to many advantages like best managerial decisions, minimizes cost of operation and increases efficiency and productivity of the enterprise.",0,0,False,"[40873, 41364]"
251,tt,-0.65,3.65,,9999999.0,422,70,1,0,No,Yes,"2.	 Increase efficiency: Each department of the enterprise is given under the supervision of a functional specialist. The top level management makes decision by taking suggestion, advice and guidance from functional specialists. It contributes to come into practical based decision. This leads to increase working efficiency of both managers and subordinates. This facilitates to maximize productivity within minimum cost.",0,0,False,"[41364, 41815]"
252,tt,-0.65,3.65,ZapfEllipt BT,9.5,563,86,1,0,No,Yes,"3.	 Healthy competition among experts: Functional organization structure has given importance to functional specialization. Here, management makes recruitment, selection, appointment and placement of the managers on the basis of their specialization. Besides, functional organization encourages healthy competition among functional experts. At present, in competitive business environment, every manager wants to demonstrate better performance to achieve common objectives. This spirit of healthy competition helps to develop the efficient executives or managers.",0,0,False,"[41815, 42379]"
253,tt,-0.65,3.65,,9999999.0,546,94,1,0,No,Yes,"4.	 Relief of executive: In functional organization, works are divided to functional managers on the basis of their area of specialization. Top level executive is responsible only for providing simple instruction and coordination over the activities of functional managers. They have full authority and are responsible for each and every activity of concerned functional area. Therefore, top level executive feels relief in job. He can devote time on creative and innovative work which is supportive for long term functioning of the organization.",0,0,False,"[42379, 42956]"
254,tt,-0.65,3.65,ZapfEllipt BT,9.5,414,71,1,0,No,Yes,5.	 Facilitates growth and expansion: The functional organization structure provides preference for growth and expansion of business activities. It creates scope to grow existing volume of business and also for the expansion of various lines of business. Each and every executive is expert in his own sector of knowledge. The executives can handle their business in effective manner in accordance with requirement.,0,0,False,"[42956, 43371]"
255,H3,0.0,3.0,ZapfEllipt BT,10.5,40,5,0,0,No,Yes,Disadvantages of Functional Organization,0,0,False,"[43371, 43412]"
256,t,0.0,3.0,ZapfEllipt BT,9.5,74,12,0,0,No,No,The following are some points of disadvantages of functional organization:,0,0,False,"[43412, 43487]"
257,xtt,0.0,3.25,ZapfEllipt BT,9.0,40,5,0,0,No,Yes,Disadvantages of Functional Organization,0,0,False,"[43487, 43528]"
258,xt,0.0,3.25,ZapfEllipt BT,9.0,27,8,1,0,No,No,1.	 Multiple command system,0,0,False,"[43528, 43556]"
259,xt,0.0,3.25,ZapfEllipt BT,9.0,24,8,1,0,No,No,2.	 Lack of coordination,0,0,False,"[43556, 43581]"
260,xt,0.0,3.25,ZapfEllipt BT,9.0,28,8,1,0,No,No,3.	 High administrative cost,0,0,False,"[43581, 43610]"
261,xt,0.0,3.25,ZapfEllipt BT,9.0,28,9,1,0,No,No,4.	 Delay in decision making,0,0,False,"[43610, 43639]"
262,xt,0.0,3.25,ZapfEllipt BT,9.0,24,8,1,0,No,No,5.	 Spoil human relation,0,0,False,"[43639, 43664]"
263,tt,-0.65,3.65,,9999999.0,557,101,1,0,No,Yes,"1.	 Multiple command system: The lack of unity of command is the major limitation of functional organization structure. The subordinates are always in confusion to obey the orders because they receive more than one order at a time. There might be the possibility of division of loyalty of subordinates among many functional managers. Besides, it is more difficult to fix responsibility of jobs. Here, both functional specialists and subordinates do not want to take full responsibility of works because of the violation of the principle of unity of command.",0,0,False,"[43664, 44254]"
264,tt,-0.65,3.65,,9999999.0,463,78,1,0,No,Yes,2.	 Lack of coordination: Every department of the enterprise is given to a functional specialist. The department heads are independent to perform their departmental works. There is no any provision of formal relationship among the departmental specialists. There is lack of mutual understanding among them. The general manager may face very difficult problems to co-ordinate departmental activities because of static and narrow vision of departmental specialists.,0,0,False,"[44254, 44747]"
265,tt,-0.65,3.65,ZapfEllipt BT,9.5,465,77,1,0,No,Yes,"3.	 High administrative cost: The functional organization needs more administrative cost. In functional organization, many functional specialists are appointed in various departments. The functional experts are to be paid more amount of remuneration. So, it is impossible to minimize cost and maintain higher efficiency in operation under functional organization. Thus, this structure is not suitable for small and medium scale enterprises having limited resources.",0,0,False,"[44747, 45213]"
266,tt,-0.65,3.65,ZapfEllipt BT,9.5,466,89,1,0,No,Yes,"4.	 Delay in decision making: To make quick decision and prompt implementation is the present day need of business. But, in functional organization there is no possibility of quick decision. It is essential to take suggestions and guidance from experts and joint consultation with them before making decision. Thus, management has to invest much time to come into a concrete decision. The delay in decision, in some situation, may become the reason of business loss.",0,0,False,"[45213, 45680]"
267,tt,-0.65,3.65,ZapfEllipt BT,9.5,488,85,1,0,No,Yes,"5.	 Spoil human relation: In functional structure, it is more difficult to maintain mutual relation among the members. There is complexity in relationship of superior subordinates which spoils human relationship in the enterprise. Due to lack of unity of command, a subordinate has to work under many executives. In many situations he receives conflicting instruction from executives which may divide his loyalty. Therefore, it is difficult to maintain discipline in functional structure.",0,0,False,"[45680, 46169]"
268,H2,0.0,0.0,Impact,13.0,26,5,0,0,No,No,Multi-Divisional Structure,0,0,False,"[46169, 46198]"
269,t,0.0,3.0,ZapfEllipt BT,9.5,765,128,0,0,No,No,"The multi-divisional organization is based on multiple businesses operating within a larger organizational framework. This design results from a strategy of related diversify business activities. Multi-divisional structure is used specially by those business firms that involve in production of various lines of products or services in various locations. A separate division is formed for a product line or service and all functions like production, finance, marketing, and personnel, etc. of one division are brought together under the concerned division. Each division is independent and responsible to improve and expand its business performance. The divisional manager is responsible for its expenses, revenue, profits, loss and failure and success of business.",0,0,False,"[46198, 46966]"
270,t,0.0,3.0,ZapfEllipt BT,9.5,950,148,0,0,No,No,"In multi-divisional structure, some activities are extremely decentralized down to the divisional levels other activities are centralized at the corporate level. There is the opportunity of coordination and sharing resources among the departments. Healthy competition for resources among divisions can enhance effectiveness but for this purpose, cooperation should also be promoted. The divisional structure is an organizational structure designed for separate business units or divisions. In this structure, each division has limited autonomy. Divisional manager has authority over his unit and is responsible for all the performance of concerned department. In divisional structures, however, the corporate office typically acts as an external overseer to coordinate and control the various divisions and it often provides support services such as financial and legal services. The specimen of divisional organizational structure may be as follows:",0,0,False,"[46966, 47921]"
271,F5,0.0,3.2,Book Antiqua,8.0,2,2,0,0,No,No,,0,0,False,"[47921, 47950]"
272,H3,0.0,3.0,ZapfEllipt BT,10.5,43,7,0,0,No,Yes,Advantages of Multi-divisional Organization,0,0,False,"[47950, 47995]"
273,t,0.0,3.0,ZapfEllipt BT,9.5,88,15,0,0,No,No,The study of multi-divisional organizational structure reveals the following advantages:,0,0,False,"[47995, 48087]"
274,xtt,0.0,3.25,ZapfEllipt BT,9.0,43,7,0,0,No,Yes,Advantages of Multi-divisional Organization,0,0,False,"[48087, 48132]"
275,xt,0.0,3.25,ZapfEllipt BT,9.0,12,6,1,0,No,No,1.	 Suitable,0,0,False,"[48132, 48145]"
276,xt,0.0,3.25,ZapfEllipt BT,9.0,30,7,1,0,No,No,2.	 Facilitates specialization,0,0,False,"[48145, 48176]"
277,xt,0.0,3.25,ZapfEllipt BT,9.0,29,8,1,0,No,No,3.	 Maintain direct attention,0,0,False,"[48176, 48206]"
278,xt,0.0,3.25,ZapfEllipt BT,9.0,36,9,1,0,No,No,4.	 Effective monitor and evaluation,0,0,False,"[48206, 48243]"
279,xt,0.0,3.25,ZapfEllipt BT,9.0,35,8,1,0,No,No,5.	 Accountable divisional managers,0,0,False,"[48243, 48279]"
280,tt,-0.65,3.65,ZapfEllipt BT,9.5,370,67,1,0,No,Yes,"1.	 Suitable: It is suitable for the organizations having diversified business activities. This organizational structure is suitable for big businesses houses involve in various line of business which are interrelated to each other. For example, Dabur Nepal Company produces various types of consumable products such as cold drink, juice, honey, toothpaste, herbal, etc.",0,0,False,"[48279, 48653]"
281,tt,-0.65,3.65,ZapfEllipt BT,9.5,349,59,1,0,No,Yes,2.	 Facilitates specialization: It brings specialization in a product or service which supports for optimum utilization of human and other physical resources. All the divisions have interrelation to each other to accomplish common goals. They are experts in their own area of business. Corporate manager maintains coordination over their activities.,0,0,False,"[48653, 49006]"
282,tt,-0.65,3.65,ZapfEllipt BT,9.5,369,61,1,0,No,Yes,3.	 Maintain direct attention: It maintains direct attention toward specific product line and service. It is suitable for big business organizations involve in production of similar types of products or service in different geographical locations. They provide direct attention for improvement of quality of products or service to gain competitive advantages in market.,0,0,False,"[49006, 49378]"
283,tt,-0.65,3.65,ZapfEllipt BT,9.5,395,64,1,0,No,Yes,"4.	 Effective monitor and evaluation: It facilitates to monitor and evaluate the performance of each production or service department. Corporate office maintains timely supervision over the performance of divisional business units. It is supportive for evaluation of achievement of actual performance. If any deficiency is found in actual performance, corporate manager takes necessary measures.",0,0,False,"[49378, 49776]"
284,tt,-0.65,3.65,ZapfEllipt BT,9.5,390,65,1,0,No,Yes,"5.	 Accountable divisional managers: In this organizational structure, divisional managers have given independency in doing work. They are efficient and self-responsible for accomplishment of assigned work. They submit progress report of the performance to corporate office within specified time. It makes accountable to divisional managers for the profitability of each product or service.",0,0,False,"[49776, 50168]"
285,H3,0.0,3.0,ZapfEllipt BT,10.5,40,5,0,0,No,Yes,Disadvantages of Divisional Organization,0,0,False,"[50168, 50209]"
286,t,0.0,3.0,ZapfEllipt BT,9.5,100,15,0,0,No,No,The critical study of multi-divisional organizational structure reveals the following disadvantages:,0,0,False,"[50209, 50312]"
287,tt,-0.65,3.65,ZapfEllipt BT,9.5,377,68,1,0,No,Yes,1.	 Source of conflict: In this structure works are divided into different departments on the basis of nature. There may be the possibility of conflict between departments as the responsibilities are inter-dependent to each other. It may create obstruction in smooth functioning of the organization. Corporate executive needs to invest more time and effort to resolve conflict.,0,0,False,"[50312, 50691]"
288,tt,-0.65,3.65,ZapfEllipt BT,9.5,393,72,1,0,No,Yes,2.	 Under utilization of capacity: There may be the possibility of under utilization of plant capacity if the demand of the product or service is not sufficient. The under utilization of capacity may be the reason of wastage of resources. It maximizes cost of product or service.  It minimizes competitive advantages of the organization and becomes difficult to face competition in the market.,0,0,False,"[50691, 51086]"
289,tt,-0.65,3.65,ZapfEllipt BT,9.5,344,61,1,0,No,Yes,3.	 Problem for effective control: In this structure various departments and branches are formed on the basis of nature and size of business. The divisional managers are independent and responsible for all the activities of the concerned department. It creates problem to top level manager for effective control over the functions of divisions.,0,0,False,"[51086, 51432]"
290,tt,-0.65,3.65,ZapfEllipt BT,9.5,394,66,1,0,No,Yes,"4.	 Maximize administrative cost: In divisional organization, there is the provision of functional specialists. Divisional managers are expert in their own area of performance. Management needs to bear additional expenses to pay more remuneration and other facilities to experts.  Therefore, it is not suitable for small organizations having limited resources. It maximizes administrative cost.",0,0,False,"[51432, 51828]"
291,tt,-0.65,3.65,ZapfEllipt BT,9.5,416,74,1,0,No,Yes,5.	 Difficulty in coordination: Works are divided in different divisions on the basis of nature and size of business. Each work is assigned to the teams by considering their efficiency. Divisional managers are independent and self-responsible for doing jobs. If there is lack of mutual relation among the departmental managers then executive needs to devote more time to maintain coordination over their performance.,0,0,False,"[51828, 52246]"
292,H2,0.0,0.0,Impact,13.0,22,3,0,0,No,No,Committee Organization,0,0,False,"[52246, 52300]"
293,t,0.0,3.0,ZapfEllipt BT,9.5,572,92,0,0,No,No,"Committee is a group of people with various kinds of knowledge, which is formally constituted to solve specific problems of the enterprise. During the course of operation, many problems may arise in the enterprises and to solve such problems; the management constitutes committees by gathering members from the various functional areas of the organization. The management takes decisions and solves problems in accordance with information and suggestions given by the committee. This contributes to minimizing workload of the top management and solving difficult problems.",0,0,False,"[52300, 52874]"
294,t,0.0,3.0,ZapfEllipt BT,9.5,592,106,0,0,No,No,"Committee is common in modern and large scale organizations. Committee may be of two types: Executive (Permanent) committee and Advisory (Ad hoc) committee. Permanent committees perform their functions in a regular basis. They are involved in planning and decision making functions of the organization. They solve all types of regular problems which crop up in the organization. Advisory committee is formed for a specific purpose to play an advisory role. Generally, ad hoc committee is formed for a temporary period and is automatically dissolved after completion of the given work or time.",0,0,False,"[52874, 53467]"
295,t,0.0,3.0,ZapfEllipt BT,9.5,374,67,0,0,No,No,"The primary functions of a committee is to suggest and guide the management in decision making procedures and in solving problems of the various departments e.g. production, finance, marketing, personnel etc. Depending upon the nature and size of the organization and situation, various types of committee can be formed. Some specimen committee organizations are as follows:",0,0,False,"[53467, 53842]"
296,F5,0.0,2.54,Book Antiqua,8.0,2,2,0,0,No,No,,0,0,False,"[53842, 53871]"
297,H3,0.0,3.0,ZapfEllipt BT,10.5,36,5,0,0,No,Yes,Advantages of Committee Organization,0,0,False,"[53871, 53908]"
298,t,0.0,3.0,ZapfEllipt BT,9.5,59,10,0,0,No,No,The following are the advantages of committee organization:,0,0,False,"[53908, 53968]"
299,xtt,0.0,3.25,ZapfEllipt BT,9.0,36,5,0,0,No,Yes,Advantages of Committee Organization,0,0,False,"[53968, 54005]"
300,xt,0.0,3.25,ZapfEllipt BT,9.0,20,7,1,0,No,No,1.	 Quality decision,0,0,False,"[54005, 54026]"
301,xt,0.0,3.25,ZapfEllipt BT,9.0,42,11,1,0,No,No,"2.	 Setting objectives, plans and policies",0,0,False,"[54026, 54069]"
302,xt,0.0,3.25,ZapfEllipt BT,9.0,28,7,1,0,No,No,3.	 Participative management,0,0,False,"[54069, 54098]"
303,xt,0.0,3.25,ZapfEllipt BT,9.0,29,9,1,0,No,No,4.	 Reduces bias and conflict,0,0,False,"[54098, 54128]"
304,xt,0.0,3.25,ZapfEllipt BT,9.0,33,9,1,0,No,No,5.	 Dealing with complex problems,0,0,False,"[54128, 54162]"
305,tt,-0.65,3.65,ZapfEllipt BT,9.5,431,75,1,0,No,Yes,"1.	 Quality decision: Quality decision is one of the advantages of a committee organization. Here, members having knowledge on various fields and experiences are gathered. They discuss and interpret the problem from various angles and finally come to the decision. They evaluate alternate decisions in various ways and finally choose the best conclusion. This is helpful in tackling complex problems and implementing the decisions.",0,0,False,"[54162, 54594]"
306,tt,-0.65,3.65,ZapfEllipt BT,9.5,378,68,1,0,No,Yes,"2.	 Setting objectives, plans and policies: This is the primary task of a committee. All organizations are established for a definite objective and for this, it is essential to prepare plans and policies. They provide a framework for setting an organization's objectives. They also provide suggestions and information for making plans and policies to achieve defined objectives.",0,0,False,"[54594, 54973]"
307,tt,-0.65,3.65,ZapfEllipt BT,9.5,445,77,1,0,No,Yes,"3.	 Participative management: Committee organization ensures participating of competent members in management. Here, all the members have the right to put forth their ideas and views in the decision making process. Other members of the committee cannot ignore the ideas and knowledge of a member. The democratic process is taken into consideration in the decision making process. The possibility of committee decisions being implemented is more.",0,0,False,"[54973, 55419]"
308,tt,-0.65,3.65,ZapfEllipt BT,9.5,419,73,1,0,No,Yes,"4.	 Reduces bias and conflict: Committees facilitate the development of relation among members and their relation with the line management. They also help in maintaining close communication and transformation of information among related authorities. Thus, there is less probability of bias or mistakes in a decision. In a similar way, the development of mutual relationship helps to resolve conflict among the members.",0,0,False,"[55419, 55839]"
309,tt,-0.65,3.65,ZapfEllipt BT,9.5,478,88,1,0,No,Yes,"5.	 Dealing with complex problems: Committee organization facilitates in dealing with complex and difficult types of problems. In some situations, during operation, many complex or critical problems may arise in an organization. It is more difficult to solve such problems by a line authority and even by the top management. In such cases, committees are formed by pooling experts from the concerned field so that it becomes easy to resolve such problems in a systematic manner.",0,0,False,"[55839, 56318]"
310,H3,0.0,3.0,ZapfEllipt BT,10.5,39,5,0,0,No,Yes,Disadvantages of Committee Organization,0,0,False,"[56318, 56358]"
311,t,0.0,3.0,ZapfEllipt BT,9.5,68,11,0,0,No,No,The following are some major limitations of committee organizations:,0,0,False,"[56358, 56427]"
312,xtt,0.0,3.25,ZapfEllipt BT,9.0,39,5,0,0,No,Yes,Disadvantages of Committee Organization,0,0,False,"[56427, 56467]"
313,xt,0.0,3.25,ZapfEllipt BT,9.0,21,7,1,0,No,No,1.	 Creating Conflict,0,0,False,"[56467, 56489]"
314,xt,0.0,3.25,ZapfEllipt BT,9.0,21,8,1,0,No,No,2.	 Delay in Decision,0,0,False,"[56489, 56511]"
315,xt,0.0,3.25,ZapfEllipt BT,9.0,28,8,1,0,No,No,3.	 Probability of Diversion,0,0,False,"[56511, 56540]"
316,xt,0.0,3.25,ZapfEllipt BT,9.0,24,8,1,0,No,No,4.	 Tendency of Shifting,0,0,False,"[56540, 56565]"
317,xt,0.0,3.25,ZapfEllipt BT,9.0,19,8,1,0,No,No,5.	 Lack of Secrecy,0,0,False,"[56565, 56585]"
318,tt,-0.65,3.65,ZapfEllipt BT,9.5,435,86,1,0,No,Yes,"1.	 Creating conflict: In some situations, a committee organization creates confusion or conflict in the decision-making process. Ideas or views of a member may be in conflict with the views of other members. In such a situation, the concept of groupism may arise in an organization. The creation of groupism among the members may lead to delay in taking decisions. In a similar manner, it becomes difficult to implement the decisions.",0,0,False,"[56585, 57021]"
319,tt,-0.65,3.65,ZapfEllipt BT,9.5,303,59,1,0,No,Yes,2.	 Delay in decision: This is a common limitation of a committee organization. The committee members take more time to discuss the various factors of a problem. The valuable time of the committee members is spent on discussion. The delay in decision results in extra financial burden to the management.,0,0,False,"[57021, 57325]"
320,tt,-0.65,3.65,ZapfEllipt BT,9.5,380,74,1,0,No,Yes,"3.	 Probability of diversion: In some cases, committee discussions may be diverted to other subject matter. In such a situation, committee members cannot come to a conclusion within the given time frame. They have to gather several times to come to an appropriate conclusion. In some situations, the delay in taking decisions may be the reason for business loss of the enterprise.",0,0,False,"[57325, 57706]"
321,tt,-0.65,3.65,ZapfEllipt BT,9.5,517,90,1,0,No,Yes,"4.	 Tendency of shifting: It is common to shift tendency of decision to committee. When the executives feel difficult to take decision in important problems, they often shift it to committee. Generally, top management authorities have the attitude that members of the committee are experts in their own fields. Hence, they shift responsibility to make decision to the committee. This attitude of line authorities minimizes their initiative and creativity, which provides negative impact on organizational performance.",0,0,False,"[57706, 58224]"
322,tt,-0.65,3.65,ZapfEllipt BT,9.5,504,93,1,0,No,Yes,"5.	 Lack of secrecy: Maintaining secrecy of internal matters is difficult in a committee organization. Here, many members are involved in the decision making process. All the members of the committee discuss the problems in detail and in the process they get knowledge about internal matters of the organization. Thus, there is more probability of leakage of internal plans and strategies of the organization. In some situations, lack of secrecy may be the reason for business losses in the organization.",0,0,False,"[58224, 58729]"
323,M5,0.0,2.54,Book Antiqua,1.0,0,1,0,0,No,No,,0,0,False,"[58729, 58730]"
324,H2,0.0,0.0,Impact,13.0,29,4,0,0,No,No,Matrix Organization Structure,0,0,False,"[58730, 58798]"
325,t,0.0,3.0,ZapfEllipt BT,9.5,398,64,0,0,No,No,"Matrix organization structure is a special type of problem solving form of an organization. Generally, matrix organization is formed to complete various types of project of specific and unique nature. This is also known as project management structure. It requires diverse technical and administrative experts to adjust efficiently with the dynamic and rapidly changing environment of the business.",0,0,False,"[58798, 59198]"
326,t,0.0,3.0,ZapfEllipt BT,9.5,1025,167,0,0,No,No,"In matrix structure, a major project is assigned to the project manager and he is given a team of specialists from different disciplines. The team members may be from various functional areas such as research and development, production, finance, marketing etc. This team provides support to the project manager to complete the project in a given time frame. In general sense, matrix organization is a combination and interaction of functional and project managers. The project manager is responsible for the overall direction and integration of activities and resource of the concerned project. Generally, their responsibility is to integrate the efforts of all functional managers, planning and implementing the project policies, accomplishing work on schedule and within the predetermined budget. The functional managers look after the operational side of the project. Their responsibility is to provide technical guidance and skilled functional staff and complete the project within the standard technical specifications.",0,0,False,"[59198, 60224]"
327,t,0.0,3.0,ZapfEllipt BT,9.5,674,114,0,0,No,No,"Especially, matrix structure integrates the efforts of the functional and project authority. The authority of the functional manager flows vertically down from the superior to the subordinates. The project authority follows horizontally crossing vertical lines. In this structure, each subordinate works under two superiors: one is the project manager and the other is the functional manager. As such, this structure does not follow the principle of unity of command and scalar chain. This organization is more democratic, human and participative and it maintains collaboration and cooperation among a wider range of people. A specimen of the matrix structure is as follows:",0,0,False,"[60224, 60952]"
328,F5,0.0,2.54,Book Antiqua,1.0,0,1,0,0,No,No,,0,0,False,"[60952, 60953]"
329,F5,0.0,2.54,Book Antiqua,8.0,2,2,0,0,No,No,,0,0,False,"[60953, 60982]"
330,F5,0.0,2.54,Book Antiqua,1.0,0,1,0,0,No,No,,0,0,False,"[60982, 60983]"
331,H3,0.0,3.0,ZapfEllipt BT,10.5,33,5,0,0,No,Yes,Advantages of Matrix Organization,0,0,False,"[60983, 61017]"
332,t,0.0,3.0,ZapfEllipt BT,9.5,57,10,0,0,No,No,The following are some advantages of matrix organization:,0,0,False,"[61017, 61075]"
333,xtt,0.0,3.25,ZapfEllipt BT,9.0,33,5,0,0,No,Yes,Advantages of Matrix Organization,0,0,False,"[61075, 61109]"
334,xt,0.0,3.25,ZapfEllipt BT,9.0,35,9,1,0,No,No,1.	 Better Coordination and Control,0,0,False,"[61109, 61145]"
335,xt,0.0,3.25,ZapfEllipt BT,9.0,36,9,1,0,No,No,2.	 Adaptable to Dynamic Environment,0,0,False,"[61145, 61182]"
336,xt,0.0,3.25,ZapfEllipt BT,9.0,28,9,1,0,No,No,3.	 Maximum Use of Resources,0,0,False,"[61182, 61211]"
337,xt,0.0,3.25,ZapfEllipt BT,9.0,28,7,1,0,No,No,4.	 Participative Management,0,0,False,"[61211, 61240]"
338,xt,0.0,3.25,ZapfEllipt BT,9.0,37,10,1,0,No,No,5.	 Sufficient Time to Top Management,0,0,False,"[61240, 61278]"
339,tt,-0.65,3.65,ZapfEllipt BT,9.5,466,77,1,0,No,Yes,"1.	Better coordination and control: The main responsibility of the project manager is to maintain coordination among interrelated factors of a particular project. He has to communicate both with the horizontal and vertical authorities so that the project work can be run smoothly. Similarly, functional managers are responsible for providing technical and administrative guidance to projects. This leads to a better and more effective control over regular operation.",0,0,False,"[61278, 61746]"
340,tt,-0.65,3.65,ZapfEllipt BT,9.5,388,67,1,0,No,Yes,"2.	Adaptable to dynamic environment: This structure is adaptable to the frequent changing and uncertain environment of the business world. The project managers have functional independency and they can get quick feedback with information related with projects. Thus, decisions can be made in time, which contributes to reducing the adverse effects of any sudden change in the environment.",0,0,False,"[61746, 62135]"
341,tt,-0.65,3.65,ZapfEllipt BT,9.5,558,103,1,0,No,Yes,"3.	Maximum use of resources: In matrix structures, many projects are handled at a time.  As such, there is more possibility of maximum use of available resources including manpower. The specialization staff and experts of a completed project can be used in other projects. It minimizes extra cost of hiring new personnel. Similarly, surplus material, plant, equipment and other resources of a completed project can be transferred to another project. Thus, available resources can be used within the organization and the wastage of resources can be minimized.",0,0,False,"[62135, 62694]"
342,tt,-0.65,3.65,ZapfEllipt BT,9.5,409,68,1,0,No,Yes,"4.	Participative management: Matrix structure emphasizes on participative management. Here, people are working together on a project as a team. High-level management provides motivational atmosphere within the organization. It takes suggestions, information and ideas from functional and project experts before taking the commitment of members to complete the given work within the defined time and standards.",0,0,False,"[62694, 63104]"
343,tt,-0.65,3.65,ZapfEllipt BT,9.5,512,86,1,0,No,Yes,5.	Sufficient time to top management: This structure encourages delegation of authority to project managers. They are responsible for regular operation of the project. They have the authority to take decisions related to the day-to-day operation of projects. This provides sufficient time to the top management to make strategic planning and policies rather than operational activities. The initiation and creativity of the top level management are necessary for further development of organizational activities.,0,0,False,"[63104, 63617]"
344,H3,0.0,3.0,ZapfEllipt BT,10.5,36,5,0,0,No,Yes,Disadvantages of Matrix Organization,0,0,False,"[63617, 63654]"
345,t,0.0,3.0,ZapfEllipt BT,9.5,60,10,0,0,No,No,The following are some disadvantages of matrix organization:,0,0,False,"[63654, 63715]"
346,xtt,0.0,3.25,ZapfEllipt BT,9.0,36,5,0,0,No,Yes,Disadvantages of Matrix Organization,0,0,False,"[63715, 63752]"
347,xt,0.0,3.25,ZapfEllipt BT,9.0,33,10,1,0,No,No,1.	 Violation of unity of command,0,0,False,"[63752, 63786]"
348,xt,0.0,3.25,ZapfEllipt BT,9.0,20,7,1,0,No,No,2.	 Costly structure,0,0,False,"[63786, 63807]"
